num,canal,marca,tarefa,obs,resp,progresso,inicio,termino
1,INSTAGRAM,FCX CONSULTORIA,Acesso — login e senha,Configurar acesso compartilhado,Ronaldo F.,1.0,02/03/2026,06/03/2026
2,INSTAGRAM,FCX CONSULTORIA,Bio — descrição do perfil,"Texto, link e emojis",Ronaldo F.,1.0,02/03/2026,13/03/2026
3,INSTAGRAM,FCX CONSULTORIA,Linktree — criação e links,Aguardando aprovação do Ronaldo Ferreira,Ronaldo F.,1.0,09/03/2026,20/03/2026
4,INSTAGRAM,FCX CONSULTORIA,Destaques — Vitrine & Branding,Capas padronizadas por categoria. Aguardando aprovação do Ronaldo Ferreira,Ronaldo F.,0.9,16/03/2026,20/03/2026
5,INSTAGRAM,FCX CONSULTORIA,Feed — Quem somos (Carrossel/Vídeo),Apresentação institucional,Ronaldo F.,1.0,02/02/2026,06/03/2026
6,INSTAGRAM,FCX CONSULTORIA,Feed — O que fazemos (Serviços),RCT ADM / PTA / RCT JUD / APT / Holding / M&A. Aguardando aprovação do Ronaldo Ferreira,Ronaldo F.,0.9,02/02/2026,20/03/2026
7,INSTAGRAM,FCX CONSULTORIA,Feed — Benefícios,Carrossel / Vídeo. Beneficios de cada Int. Consultiva. Aguardando aprovação do Ronaldo Ferreira,Ronaldo F.,0.9,02/02/2026,20/03/2026
8,INSTAGRAM,FCX CONSULTORIA,Feed — Resultados (Cases),Carrossel / Vídeo com dados reais,Ronaldo F.,0.0,02/02/2026,31/03/2026
9,INSTAGRAM,FCX CONSULTORIA,Valorizando a Nossa Casa,Conteúdo de cultura interna,Ronaldo F.,0.0,02/02/2026,30/04/2026
10,INSTAGRAM,FCX CONSULTORIA,Percepção de Mercado — Nutrição Relacionamento,Interações e comentários,Ronaldo F.,0.0,02/02/2026,30/04/2026
11,INSTAGRAM,FCX CONSULTORIA,Caixa de Perguntas (Engajamento),Stories interativos semanais. Incluir destaques,Ronaldo F.,0.0,02/02/2026,30/04/2026
12,INSTAGRAM,CONTABILIDADE ALAVANCADA,Acesso — login e senha,Configurar acesso compartilhado,Ronaldo F.,1.0,02/03/2026,06/03/2026
13,INSTAGRAM,CONTABILIDADE ALAVANCADA,Bio e Linktree,Atualizar texto e links,Ronaldo F.,1.0,02/03/2026,13/03/2026
14,INSTAGRAM,CONTABILIDADE ALAVANCADA,Destaques — Vitrine & Branding,Capas padronizadas. Aguardando aprovação do Ronaldo Ferreira,Ronaldo F.,0.9,16/03/2026,31/03/2026
15,INSTAGRAM,CONTABILIDADE ALAVANCADA,Feed — Conteúdo completo (5 posts),"Quem somos, Serviços, Benefícios, Cases, Resultados",Ronaldo F.,0.7,16/03/2026,31/03/2026
16,INSTAGRAM,CONTABILIDADE ALAVANCADA,Nutrição e Engajamento,Percepção de mercado + Caixa de perguntas,Ronaldo F.,0.0,01/04/2026,30/04/2026
17,INSTAGRAM,RONALDO FCX,Acesso e configuração inicial,Login + bio + linktree,Ronaldo F.,1.0,02/02/2026,06/03/2026
18,INSTAGRAM,RONALDO FCX,Feed — Conteúdo Thought Leadership (5 posts),Posicionar Ronaldo como especialista - Ação semanal continua,Ronaldo F.,0.7,02/02/2026,31/03/2026
19,INSTAGRAM,RONALDO FCX,Nutrição e Engajamento,Interações diárias,Ronaldo F.,0.0,23/03/2026,30/04/2026
20,INSTAGRAM,SUPERMERCADO ALAVANCADO,Acesso — login e senha,Configurar acesso,Ronaldo F.,1.0,02/03/2026,06/03/2026
21,INSTAGRAM,SUPERMERCADO ALAVANCADO,Feed e Destaques completos,"Bio, destaques, 5 posts",Ronaldo F.,0.5,16/03/2026,31/03/2026
22,INSTAGRAM,SUPERMERCADO ALAVANCADO,Nutrição e Engajamento,Percepção de mercado,Ronaldo F.,0.0,01/04/2026,30/04/2026
23,INSTAGRAM,FCX ADV,Acesso e setup completo,Login + bio + linktree + destaques,Ronaldo F.,0.15,09/03/2026,31/03/2026
24,INSTAGRAM,FCX ADV,Feed — Conteúdo completo (5 posts),Especialidades jurídicas FCX - Postagens diárias. Ação continua,Ronaldo F.,0.3,23/03/2026,31/03/2026
25,INSTAGRAM,FCX ADV,Nutrição e Engajamento,Interações mensais,Ronaldo F.,0.0,01/04/2026,30/04/2026
26,INSTAGRAM,FCX USA,Acesso e configuração do perfil,Setup completo bilíngue,Ronaldo F.,1.0,02/03/2026,09/03/2026
27,INSTAGRAM,FCX USA,Feed — Conteúdo Bilíngue (5 posts),"PT-BR e EN — Serviços, Cases, Benefícios",Ronaldo F.,0.0,01/04/2026,30/04/2026
28,INSTAGRAM,FCX USA,Nutrição e Engajamento,Foco no público norte-americano,Ronaldo F.,0.0,01/04/2026,30/04/2026
29,FACEBOOK,FCX CONSULTORIA,Acesso e configuração da página,"Admin, bio, links, foto de capa",Ronaldo F.,1.0,09/03/2026,20/03/2026
30,FACEBOOK,FCX CONSULTORIA,Feed — Conteúdo espelhado do Instagram (5 posts),Reaproveitamento de conteúdo - à confirmar,Ronaldo F.,0.0,23/03/2026,31/03/2026
31,FACEBOOK,CONTABILIDADE ALAVANCADA,Setup e conteúdo completo,Espelho Instagram,Ronaldo F.,0.0,23/03/2026,30/04/2026
32,FACEBOOK,RONALDO FCX,Setup e conteúdo thought leadership,Posts de autoridade,Ronaldo F.,0.0,01/04/2026,01/05/2026
33,FACEBOOK,SUPERMERCADO ALAVANCADO,Setup e conteúdo completo,Espelho Instagram,Ronaldo F.,0.0,23/03/2026,30/04/2026
34,FACEBOOK,FCX ADV,Setup e conteúdo jurídico,Especialidades legais,Ronaldo F.,0.0,01/04/2026,01/05/2026
35,FACEBOOK,FCX USA,Setup bilíngue e conteúdo,PT-BR e EN,Ronaldo F.,0.0,13/04/2026,29/05/2026
36,LINKEDIN,FCX CONSULTORIA,Acesso e configuração da página empresarial,"Admin, banner, about, especialidades",Ronaldo F.,1.0,02/02/2026,06/03/2026
37,LINKEDIN,FCX CONSULTORIA,Conteúdo — Feed B2B (5 posts),"Autoridade, cases, dados de mercado",Ronaldo F.,0.0,01/04/2026,30/04/2026
38,LINKEDIN,FCX CONSULTORIA,Rotina de publicação semanal,Mín. 2x/semana — artigos e insights,Ronaldo F.,0.0,01/04/2026,30/04/2026
39,LINKEDIN,CONTABILIDADE ALAVANCADA,Setup e conteúdo B2B,Direcionado a contadores e empresas,Ronaldo F.,0.0,23/03/2026,01/05/2026
40,LINKEDIN,RONALDO FCX,Perfil pessoal — thought leadership,2 posts/semana — posicionamento de especialista,Ronaldo F.,0.0,09/03/2026,30/06/2026
41,LINKEDIN,SUPERMERCADO ALAVANCADO,Setup e conteúdo segmento varejo,,Ronaldo F.,0.0,01/04/2026,15/05/2026
42,LINKEDIN,FCX ADV,Setup e conteúdo jurídico,,Ronaldo F.,0.0,01/04/2026,15/05/2026
43,LINKEDIN,FCX USA,Setup bilíngue e conteúdo internacional,EN + PT-BR,Ronaldo F.,0.0,13/04/2026,29/05/2026
44,INTRANET (SHAREPOINT),ARTES,Criar biblioteca de artes no SharePoint,"Templates, logos, ícones, paleta de cores",Ronaldo F.,0.0,09/03/2026,31/03/2026
45,INTRANET (SHAREPOINT),ARTES,Organizar artes por marca (FCX / ContAl / Superm / ADV / USA),Estrutura de pastas padronizada,Ronaldo F.,0.0,16/03/2026,10/04/2026
46,INTRANET (SHAREPOINT),BANNERS,Criar banners digitais — todos os tamanhos,"Feed, stories, LinkedIn, site",Ronaldo F.,0.0,16/03/2026,10/04/2026
47,INTRANET (SHAREPOINT),BANNERS,Criar banners impressos — eventos e feiras,"Roll-up, mesa, backdrop",Ronaldo F.,0.0,23/03/2026,24/04/2026
48,INTRANET (SHAREPOINT),VÍDEOS,Estruturar repositório de vídeos no SharePoint,"Categorias: institucional, serviços, depoimentos",Ronaldo F.,0.0,09/03/2026,31/03/2026
49,INTRANET (SHAREPOINT),VÍDEOS,Produzir vídeos institucionais (mín. 3),"Quem somos, Serviços, Cases",Ronaldo F.,0.0,23/03/2026,01/05/2026
50,INTRANET (SHAREPOINT),MATÉRIAS / ARTIGOS,Criar calendário editorial trimestral,"Temas: Tributário, Financeiro, Holding, Reforma",Ronaldo F.,0.0,09/03/2026,20/03/2026
51,INTRANET (SHAREPOINT),MATÉRIAS / ARTIGOS,Produzir e publicar 6 artigos educativos (mar–jun),Mín. 1 por quinzena,Ronaldo F.,0.0,16/03/2026,30/06/2026
52,SITE,FCX CONSULTORIA,Auditoria e levantamento de melhorias do site atual,"SEO, velocidade, mobile, conteúdo",Ronaldo F.,0.0,09/03/2026,20/03/2026
53,SITE,FCX CONSULTORIA,Atualizar página Sobre Nós — sócios e história,Fotos e bio dos sócios,Ronaldo F.,0.0,23/03/2026,10/04/2026
54,SITE,FCX CONSULTORIA,Criar página de Cases e Resultados,Com dados e depoimentos reais,Ronaldo F.,0.0,01/04/2026,30/04/2026
55,SITE,FCX CONSULTORIA,Implementar pop-up de captura de leads (diagnóstico gratuito),Integração com CRM,Ronaldo F.,0.0,13/04/2026,01/05/2026
56,SITE,FCX CONSULTORIA,Otimização de SEO On-Page,"Palavras-chave: tributário, financeiro, holding, reforma",Ronaldo F.,0.0,01/04/2026,29/05/2026
57,SITE,RONALDO FCX,Criar página pessoal de autoridade,"Bio, palestras, artigos, contato",Ronaldo F.,0.0,01/04/2026,30/04/2026
58,SITE,FCX ADV,Criar ou revisar página FCX ADV,"Serviços jurídicos, equipe, contato",Ronaldo F.,0.0,01/04/2026,01/05/2026
59,SITE,FCX USA,Comprar domínios fcx-bc.com e fcxus.com,Aguardando pagamento — prioridade alta,Ronaldo F.,0.0,02/03/2026,13/03/2026
60,SITE,FCX USA,Estruturar site FCX USA bilíngue (EN + PT-BR),"Serviços, quem somos, contato USA",Ronaldo F.,0.0,16/03/2026,29/05/2026
61,LANDING PAGE,CONTABILIDADE ALAVANCADA,Criar landing page de conversão,"Headline, prova social, CTA, formulário",Ronaldo F.,0.0,01/04/2026,30/04/2026
62,LANDING PAGE,CONTABILIDADE ALAVANCADA,Integrar LP ao CRM e WhatsApp,Automação de follow-up,Ronaldo F.,0.0,24/04/2026,15/05/2026
63,LANDING PAGE,SUPERMERCADO ALAVANCADO,Criar landing page de conversão — varejo,Resultados específicos do segmento,Ronaldo F.,0.0,13/04/2026,09/05/2026
64,LANDING PAGE,SUPERMERCADO ALAVANCADO,Integrar LP ao CRM,,Ronaldo F.,0.0,04/05/2026,22/05/2026
65,LANDING PAGE,INDÚSTRIA ALAVANCADA,Criar landing page de conversão — indústria,Resultados para indústrias e manufatura,Ronaldo F.,0.0,04/05/2026,29/05/2026
66,LANDING PAGE,INDÚSTRIA ALAVANCADA,Integrar LP ao CRM,,Ronaldo F.,0.0,18/05/2026,05/06/2026
67,GOOGLE ADS,FCX CONSULTORIA,Criar conta Google Ads e configurar acesso,MCC e tag de conversão no site,Ronaldo F.,0.0,01/04/2026,10/04/2026
68,GOOGLE ADS,FCX CONSULTORIA,Pesquisa de palavras-chave — tributário / financeiro,Ferramentas: Keyword Planner + SEMrush,Ronaldo F.,0.0,01/04/2026,17/04/2026
69,GOOGLE ADS,FCX CONSULTORIA,Criar campanha Search — FCX Consultoria,"Palavras-chave: recuperação tributária, holding, reforma",Ronaldo F.,0.0,13/04/2026,30/04/2026
70,GOOGLE ADS,CONTABILIDADE ALAVANCADA,Criar campanha Search — Contabilidade Alavancada,Segmentação: contadores e pequenas empresas,Ronaldo F.,0.0,24/04/2026,15/05/2026
71,GOOGLE ADS,SUPERMERCADO ALAVANCADO,Criar campanha Search — Supermercado Alavancado,Segmentação: varejo e distribuidoras,Ronaldo F.,0.0,04/05/2026,22/05/2026
72,GOOGLE ADS,INDÚSTRIA ALAVANCADA,Criar campanha Search — Indústria,Segmentação: indústrias e manufatura,Ronaldo F.,0.0,18/05/2026,05/06/2026
73,GOOGLE ADS,FCX ADV,Criar campanha Search — FCX ADV,Segmentação: empresas com passivos fiscais,Ronaldo F.,0.0,18/05/2026,05/06/2026
74,GOOGLE ADS,Acompanhamento,Relatório mensal de performance e otimização,"CTR, CPC, conversões, ROAS",Ronaldo F.,0.0,01/05/2026,30/06/2026
75,LIVES E WEBINARS,FCX CONSULTORIA,Semana Compensações Indevidas (Live série 4 episódios),"Temas: Títulos, Precatórios, Créditos Terceiros, Reporto, ICMS",Ronaldo F.,0.0,30/03/2026,17/04/2026
76,LIVES E WEBINARS,FCX CONSULTORIA,Semana Jurídica (Live série 4 episódios),"Transações, Penhoras, IAS, Liminar Simples, DIFAL",Ronaldo F.,0.0,20/04/2026,08/05/2026
77,LIVES E WEBINARS,FCX CONSULTORIA,Semana Holding (Live série 3 episódios),"Erros de contadores: regime bens, contratos, doações",Ronaldo F.,0.0,11/05/2026,29/05/2026
78,LIVES E WEBINARS,FCX CONSULTORIA,Webinar Reforma Tributária — impactos práticos,Foco em PMEs e indústria,Ronaldo F.,0.0,06/04/2026,10/04/2026
79,LIVES E WEBINARS,CONTABILIDADE ALAVANCADA,Live mensal para contadores — insights e cases,"Mínimo 1 por mês (abr, mai, jun)",Ronaldo F.,0.0,01/04/2026,30/06/2026
80,LIVES E WEBINARS,RONALDO FCX,Live Ronaldo FCX — Papo de Negócios (mensal),Entrevista com empresários e cases de sucesso,Ronaldo F.,0.0,01/04/2026,30/06/2026
81,PALESTRAS,FCX CONSULTORIA,Mapear e contatar associações RJ e SP,"CRC, SESCON, CDL, ACSP, Sindicatos",Ronaldo F.,0.0,09/03/2026,31/03/2026
82,PALESTRAS,FCX CONSULTORIA,Agendar 2 palestras por associação (abr-jun),Programa: Educação Corporativa Colaborativa,Ronaldo F.,0.0,23/03/2026,24/04/2026
83,PALESTRAS,FCX CONSULTORIA,Executar palestras trimestrais presenciais,"Temas: Compensações, Lucro Sócios, Holding, Reforma",Ronaldo F.,0.0,01/04/2026,30/06/2026
84,PALESTRAS,SUPERMERCADO ALAVANCADO,Mapear empresas-alvo e contatos nos mercados-chave,"Varejo, Indústria, Advocacia, Óleo & Gás",Ronaldo F.,0.0,09/03/2026,31/03/2026
85,PALESTRAS,SUPERMERCADO ALAVANCADO,Agendar e executar palestras no mercado (abr-jun),Mín. 1 por mês,Ronaldo F.,0.0,01/04/2026,30/06/2026
86,PALESTRAS,CONTABILIDADE ALAVANCADA,Mapear escritórios de contabilidade parceiros RJ/SP,Foco em Contabilidade Alavancada,Ronaldo F.,0.0,16/03/2026,10/04/2026
87,PALESTRAS,CONTABILIDADE ALAVANCADA,Executar rodada de palestras em contabilidades (abr-jun),Programa Educação Corporativa,Ronaldo F.,0.0,01/04/2026,30/06/2026
88,PALESTRAS,INDÚSTRIA ALAVANCADA,Mapear associações e parques industriais prioritários,"RJ, SP e MG",Ronaldo F.,0.0,16/03/2026,10/04/2026
89,PALESTRAS,INDÚSTRIA ALAVANCADA,Executar palestras para indústrias (mai-jun),Mín. 2 palestras,Ronaldo F.,0.0,01/05/2026,30/06/2026
90,PROJETO A TRINCA,FCX CONSULTORIA,Definir formato e roteiro do Projeto A Trinca,Ronaldo + Lucas + Sérgio — podcast/série,Ronaldo F.,0.0,16/03/2026,31/03/2026
91,PROJETO A TRINCA,FCX CONSULTORIA,Gravar episódio piloto (A Trinca #01),Tema: Compensações Indevidas na prática,Ronaldo F.,0.0,01/04/2026,17/04/2026
92,PROJETO A TRINCA,CONTABILIDADE ALAVANCADA,Gravar episódio A Trinca — contabilidade #01,Tema: Como alavancou escritórios contábeis,Ronaldo F.,0.0,20/04/2026,08/05/2026
93,PROJETO A TRINCA,RONALDO FCX,Gravar episódio A Trinca — cases empresariais #01,Case real de cliente — resultados comprovados,Ronaldo F.,0.0,11/05/2026,29/05/2026
94,EVENTOS E FEIRAS,FEIRAS COMO EXPOSITOR,"Mapear feiras prioritárias RJ, SP, MG","Restaurantes, Óleo & Gás, Náutico, Advocacia, Varejo",Ronaldo F.,0.0,09/03/2026,31/03/2026
95,EVENTOS E FEIRAS,FEIRAS COMO EXPOSITOR,Contratar espaço e montar kit expositor (1 feira piloto),"Banner, brochura, uniforme, rollup",Ronaldo F.,0.0,01/04/2026,01/05/2026
96,EVENTOS E FEIRAS,FEIRAS COMO EXPOSITOR,Participar da feira piloto com equipe treinada,Meta: 50+ leads qualificados,Ronaldo F.,0.0,01/05/2026,30/06/2026
97,EVENTOS E FEIRAS,EVENTOS EXTERNOS,Mapear eventos de networking e negócios (abr-jun),Eventos presenciais em RJ e SP,Ronaldo F.,0.0,16/03/2026,10/04/2026
98,EVENTOS E FEIRAS,EVENTOS EXTERNOS,Participar de 2 eventos/mês com pitch institucional,Meta de networking: 20 contatos por evento,Ronaldo F.,0.0,01/04/2026,30/06/2026
99,EVENTOS E FEIRAS,EVENTOS INTERNOS,Planejar 1 evento interno FCX por trimestre,"Palestras, networking e cases internos",Ronaldo F.,0.0,23/03/2026,30/04/2026
100,EVENTOS E FEIRAS,EVENTOS INTERNOS,Executar 1º Evento Interno FCX (junho/26),"Convidados: clientes, parceiros, embaixadores",Ronaldo F.,0.0,01/05/2026,30/06/2026
101,MATERIAIS DE APOIO,PALESTRAS,Criar deck de apresentação institucional FCX (Brasil),PowerPoint com identidade visual FCX,Ronaldo F.,0.0,09/03/2026,31/03/2026
102,MATERIAIS DE APOIO,PALESTRAS,Criar deck de apresentação FCX USA (bilíngue),EN + PT-BR,Ronaldo F.,0.0,01/04/2026,30/04/2026
103,MATERIAIS DE APOIO,FOLDERS,Criar folders digitais por vertical (6 modelos),"FCX, ContAl, Supermercado, ADV, Holding, USA (empresarial + brasileiros em USA)",Ronaldo F.,0.0,23/03/2026,24/04/2026
104,MATERIAIS DE APOIO,FOLDERS,Criar folders impressos para eventos,Mín. 200 unidades por vertical prioritária,Ronaldo F.,0.0,13/04/2026,01/05/2026
105,MATERIAIS DE APOIO,APRESENTAÇÕES,Criar apresentação de vendas por serviço (6 decks),"RCT, PTA, Holding, M&A, Supermercado, ContAl",Ronaldo F.,0.0,01/04/2026,15/05/2026
106,MATERIAIS DE APOIO,REL. COM PARCEIROS,Criar programa de nutrição de parceiros,"Brindes, datas comemorativas, newsletter exclusiva",Ronaldo F.,0.0,01/04/2026,01/05/2026
107,MATERIAIS DE APOIO,REL. COM PARCEIROS,Executar ações de relacionamento mensais (abr-jun),Email + WhatsApp + presencial,Ronaldo F.,0.0,01/04/2026,30/06/2026
108,MATERIAIS DE APOIO,REL. COM CLIENTES,Criar programa de nutrição de clientes ativos,"Prova social, brindes, datas comemorativas",Ronaldo F.,0.0,01/04/2026,01/05/2026
109,MATERIAIS DE APOIO,REL. COM CLIENTES,Implementar pesquisa NPS (satisfação),Ferramenta: Typeform ou similar,Ronaldo F.,0.0,13/04/2026,01/05/2026
110,MATERIAIS DE APOIO,CATÁLOGOS,Criar catálogo de serviços Brasil (digital + impresso),Todos os serviços e verticais,Ronaldo F.,0.0,23/03/2026,24/04/2026
111,MATERIAIS DE APOIO,CATÁLOGOS,Criar catálogo de serviços FCX USA (EN + PT-BR),,Ronaldo F.,0.0,13/04/2026,15/05/2026
112,MATERIAIS DE APOIO,REVISTA FCX / NEWSLETTER,Criar template da Revista FCX (newsletter mensal),"Design, seções: mercado, cases, dicas, agenda",Ronaldo F.,0.0,01/04/2026,30/04/2026
113,MATERIAIS DE APOIO,REVISTA FCX / NEWSLETTER,Lançar 1ª edição da Revista FCX Newsletter,"Distribuir para clientes, parceiros e leads",Ronaldo F.,0.0,01/05/2026,15/05/2026
114,MATERIAIS DE APOIO,REVISTA FCX / NEWSLETTER,Publicar edições mensais (mai e jun/26),Consistência mensal,Ronaldo F.,0.0,15/05/2026,30/06/2026
115,MATERIAIS DE APOIO,CARTÕES DE VISITA,Redesenhar e produzir cartões de visita (Brasil),Todos os sócios e lideranças — nova identidade,Ronaldo F.,0.0,09/03/2026,31/03/2026
116,MATERIAIS DE APOIO,CARTÕES DE VISITA,Produzir cartões FCX USA (bilíngue EN+PT-BR),,Ronaldo F.,0.0,01/04/2026,24/04/2026
117,BRAZILIAN TIMES / FCX USA,ARTES,Criar artes para Brazilian Times (anúncios),"4 Artes para publicação no jornal digital e impresso: UMA ARTE DE PROTÓTIPO, material de apoio (Word).",Marketing,0.3,09/03/2026,23/03/2026
118,BRAZILIAN TIMES / FCX USA,ARTES,Criar artes para Brazilian Times (revista mensal),Escolher a arte do jornal que tiver mais procura. 1 Arte para publicação na revista mensal,Marketing,0.0,09/03/2026,31/03/2026
119,BRAZILIAN TIMES / FCX USA,BANNERS,Criar 05 banners para WhatsApp,"UMA ARTE EMPRESARIAL DE PROTÓTIPO E UMA ARTE PESSOA FÍSICA/BR DE PROTÓTIPO ,material de apoio (Word), Tamanhos de Banner Disponíveis para site  •	Pro Banner: 1456 x 180 pixels. •	Banner Lateral: 1080 x 833 pixels.",Marketing,0.3,09/03/2026,26/03/2026
120,BRAZILIAN TIMES / FCX USA,BANNERS,Criar 05 banners para Facebook,"UMA ARTE EMPRESARIAL DE PROTÓTIPO E UMA ARTE PESSOA FÍSICA/BR DE PROTÓTIPO,material de apoio (Word)",Marketing,0.3,09/03/2026,26/03/2026
121,BRAZILIAN TIMES / FCX USA,BANNERS,Criar 05 banners para Instagram,"UMA ARTE EMPRESARIAL DE PROTÓTIPO E UMA ARTE PESSOA FÍSICA/BR DE PROTÓTIPO,material de apoio (Word)",Marketing,0.3,09/03/2026,26/03/2003
122,BRAZILIAN TIMES / FCX USA,VÍDEOS,04 vídeos verticais para Facebook e Instagram (30 segundos),"UM VÍDEO EMPRESARIAL DE PROTÓTIPO E UM VÍDEO PESSOA FÍSICA/BR DE PROTÓTIPO ,material de apoio (Word) - Agendado para 25/03 as 10h30",Marcos Cailleaux / Lucas Prattes,0.5,09/03/2026,26/03/2026
123,BRAZILIAN TIMES / FCX USA,VÍDEOS,04 vídeos horizontais para Facebook e Instagram (30 segundos),"UM VÍDEO EMPRESARIAL DE PROTÓTIPO E UM VÍDEO PESSOA FÍSICA/BR DE PROTÓTIPO ,material de apoio (Word) - Agendado para 25/03 as 10h30",Marcos Cailleaux / Lucas Prattes,0.5,09/03/2026,26/03/2026
123,BRAZILIAN TIMES / FCX USA,VÍDEOS,04 Vídeos educativo/ institucional (10/15 minutos),"UM VÍDEO EMPRESARIAL DE PROTÓTIPO E UM VÍDEO PESSOA FÍSICA/BR DE PROTÓTIPO ,material de apoio (Word). Para resposta das perguntas (artigo) - segunda quinzena de abril",Marcos Cailleaux / Lucas Prattes,0.0,09/03/2026,31/03/2026
124,BRAZILIAN TIMES / FCX USA,MATÉRIAS / ARTIGOS,"04 Matérias/artigos educativo/ institucional com 250 palavras, foto e logo",material de apoio (Word). Incluir um forms para cadastro e campo de perguntas - QR Code. Agendado para 25/03 as 10h30 - Semanal,Marcos Cailleaux / Lucas Prattes,0.0,09/03/2026,27/03/2026
125,BRAZILIAN TIMES / FCX USA,VINHETAS PARA RÁDIO,05 vinhetas para rádio de 30 segundos,material de apoio (Word) - 2 vinhetas gravadas - Agendado para 25/03 as 10h30 (05 vinhetas),Marcos Cailleaux / Lucas Prattes,0.3,09/03/2026,26/03/2026
